1,"There are simply no legal provisions governing the expulsion of a state from the single currency, and thus no clear mechanism by which this could be achieved even if Athens fails to satisfy its creditors."
2,"Today Greece can leave, and it will be an annoyance, but Europe and the rest of the world will survive quite nicely."
3,"Not this week or next year or even the year after that, but it will come about."
4,"I urge people to speak their minds, and I listen carefully to what is being said even if I don’t agree."
5,"When the Irish Parliamentary Party was eventually displaced in 1918, it was by the even more radical Sinn Fein."
6,"I'm open-minded about how long it will take in practice, but it would be naive to think that 10+ years isn't still a possibility."
7,"Labour have already chosen to drive over the cliff rather than get off the Union bus."
8,"And why not, they all lost their seats but seem to be just as regularly voicing off on political shows and newspaper articles as ever they did."
9,"I hope the British establishment does not respond as it did in ireland."
10,"The SNP have been absolutely instrumental in keeping Indy on the agenda and no one will ever forget that, but they are a political party, with party political outlooks."
11,"So, what this comes down to is a matter of timing and the size of the window that we may or may not have."
12,"From what friends and relatives in Toronto and Hamilton tell me Mulcair is having a good campaign and benefits from not being Harper while the Liberals C51 support for Harper has gone down very badly."
13,"I don't disagree that the Yes campaign made mistakes, but they must be contextualised within the truly immense opposition they had."
14,"Many just came too late to the debate to catch up in time before the vote, but they had moved in our direction."
15,"I was actually in Canada this last week, albeit in Ontario, so i asked a few locals their thoughts."
16,"Statistics also show, that despite or because of the NHS, no one gets out of here alive!"
17,"Be that as it may, we finally did join the European Union in January 1973."
18,"As you can see, we had been in the European Union for just over two years and we were already holding a referendum as to whether to leave!"
19,"Not that they were not also great Americans, but they simply weren’t in Hamilton’s league."
20,"If, by contrast, you kick Greece out there is still a chance of confining the damage to one country."
21,"The UK FTSE index closed 2% lower yesterday, with worse for the German Dax off by 3.5%."
22,"However, stock market corrections are just that stock market corrections and should be viewed as BUY OPPORTUNITIES and not the start of bear markets as I have often reminded the readers of my articles over the past 6 years -"
23,"There may be some business opportunities for Indian investors arising out of the decline in asset valuations in Europe, but caution would be the better part of valour."
24,"I've since seen two people who previously intended to campaign for SNP supporters to vote Green on the list say that they will no longer do so."
25,"The difference between them and the SNP is that they are not an independence at any price party and so are not seeking to pretend that everything will be easy and seamless."
26,"Outcomes are what count, not the name of the party in power."
27,"Of course, the Tories are a disaster for vulnerable people across the UK - and are not muc good to anyone else apart from the super-rich - and we need to get rid of them."
28,"Lose that, but keep monetary policy in Westminster's hands as the SNP is proposing, and it would be a disaster."
29,"FFA was not only voted down - it was crushed."
30,"If trivial, the party ends up with a working majority, just a smaller one than it might have had."
31,"To justify its democratic deficit, the EU needs to demonstrate its benefit to its citizens; but the more democratic it becomes and the more prominent national interests become, the harder that will be."
32,"A study by the Resolution Foundation says that Universal Credit would leave a family where the second parent earns £10,600 a year just £3,600 better off – compared with £6,000 under the current system."
33,"Until recently, she could have been treated at Stafford Hospital, nearby, but because of government NHS plans, that hospital has been recently downgraded and doesn’t deal with acute cases- and now Royal Stoke has to cope with Stafford patients, too"
34,"The UK will not take a different path to the same destination, but a different path to a different place."
35,"While Britain tries to work out what the second pillar could look like, the rest of the EU needs to get on with the business of defining the first pillar."
36,"There are many complicated reasons for opposition, but the objection of these Germans is simple."
37,"One official noted earlier this week that delegations at the Geneva talks should have just 10 people, but one group insists it needs 22."
38,"Despite a reputation for equality, the 9.5-million-strong Scandinavian nation is feeling the pinch of a pay gap — and opening up its first-ever emporium of discounted food for Stockholm's poor."
39,"Fairbanks was not threatened by fire, but heavy smoke from more than a dozen nearby fires reduced visibility to about eight blocks and residents woke up to layers of smoke ash reminiscent of a winter's first snowfall, officials said."
40,"The nations involved in the talks with Iran, which include Britain, China, France, Germany, Russia and the United States, have set June 30 as a deadline for a deal but the negotiations are widely expected to slide past that date."
